"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"5FU_24","5FU","24h",312937,0.948191586331047,1.54424059807955e-28,3.35947349244391e-27
"5FU_24","5FU","24h",312974,0.307530183532577,0.000317028331514373,0.000690000050375382
"5FU_24","5FU","24h",313019,1.14130281937825,3.27789204187187e-14,2.12311707954621e-13
"5FU_24","5FU","24h",313020,0.350812409648464,5.86587953407409e-08,2.01586802217035e-07
"5FU_24","5FU","24h",313030,0.575444260422644,3.81653006183747e-30,9.43052266892743e-29
"5FU_24","5FU","24h",313033,0.270202065217793,0.00105376609820062,0.0021288883666313
"5FU_24","5FU","24h",313035,0.367139306459436,6.73263960293754e-12,3.47101795186514e-11
"5FU_24","5FU","24h",313038,0.470400733154622,5.00916618474802e-18,4.62585054903698e-17
"5FU_24","5FU","24h",313045,0.722380765340842,1.40411632748981e-08,5.12810766130156e-08
"5FU_24","5FU","24h",313047,0.2422588081384,0.00249157336707812,0.00473165829026549
"5FU_24","5FU","24h",313056,0.47438095679076,7.02330688809187e-16,5.43419502654381e-15
"5FU_24","5FU","24h",313058,0.557831650574821,0.000116461808307142,0.000267643321980443
"5FU_24","5FU","24h",313063,0.702315544146013,0.00061537549708722,0.00128477621354288
"5FU_24","5FU","24h",313067,0.375057534535357,1.21114629607077e-06,3.59002509022688e-06
"5FU_24","5FU","24h",313155,0.372761513753375,3.91944571162874e-09,1.5151025999215e-08
"5FU_24","5FU","24h",313166,0.199743711661595,7.9255740327674e-05,0.000186110427734984
"5FU_24","5FU","24h",313167,0.24115793209855,0.000644158533482656,0.00134178950855969
"5FU_24","5FU","24h",313173,0.740931043558738,0.00371288660116453,0.00686711800652543
"5FU_24","5FU","24h",313183,2.5853534181886,2.39648767519395e-08,8.5801922816169e-08
"5FU_24","5FU","24h",313231,0.587305236657986,7.66782811477889e-17,6.42473059196845e-16
"5FU_24","5FU","24h",313243,0.351681578366288,6.58179352867727e-05,0.000156617828623121
"5FU_24","5FU","24h",313264,0.168225573880003,0.00355178024728476,0.00658924279400668
"5FU_24","5FU","24h",313296,1.29012068705459,1.3952948575229e-23,2.10218647581659e-22
"5FU_24","5FU","24h",313325,0.876808122310092,1.4165820639751e-10,6.40277495624024e-10
"5FU_24","5FU","24h",313341,0.348827986794255,6.96637468618336e-05,0.000165101151575823
"5FU_24","5FU","24h",313429,0.463183805055734,4.02943304443067e-08,1.40769007509947e-07
"5FU_24","5FU","24h",313511,0.317988705298598,0.00161263566711913,0.00315588268108804
"5FU_24","5FU","24h",313519,0.200815453905869,0.000327164202653042,0.000710254744244089
"5FU_24","5FU","24h",313524,0.475821298848889,5.95188747135685e-07,1.83992715076737e-06
"5FU_24","5FU","24h",313551,0.509788568426629,7.02400037774282e-11,3.2796696021068e-10
"5FU_24","5FU","24h",313553,1.59264694862005,6.68694044516285e-14,4.19671113578699e-13
"5FU_24","5FU","24h",313558,0.445009536906529,0.00372454722314049,0.00688431042489036
"5FU_24","5FU","24h",313564,0.29756232600412,5.7683362183867e-10,2.44687745037599e-09
"5FU_24","5FU","24h",313566,0.360797375961525,4.20815581797743e-06,1.16613670553777e-05
"5FU_24","5FU","24h",313581,0.202267848322021,0.00505149269472061,0.00912038514811608
"5FU_24","5FU","24h",313593,0.655274701206036,2.25794664419887e-09,8.93478941263469e-09
"5FU_24","5FU","24h",313604,0.301039932989707,0.000573922695171917,0.00120612269656694
"5FU_24","5FU","24h",313609,0.31652776834466,5.88997491752458e-06,1.60049841205476e-05
"5FU_24","5FU","24h",313615,0.542171787038565,3.04993821547427e-13,1.78987099951663e-12
"5FU_24","5FU","24h",313666,0.441287608931215,5.29248016585937e-16,4.15014850937054e-15
"5FU_24","5FU","24h",313667,0.546783362352253,4.09377386750846e-17,3.50475205104225e-16
"5FU_24","5FU","24h",313699,0.670999324540798,4.46588501208824e-31,1.1839069301627e-29
"5FU_24","5FU","24h",313717,0.325897209545786,1.56332909044692e-06,4.57524463751547e-06
"5FU_24","5FU","24h",313743,0.781482333546995,2.59099168262324e-49,2.28541169387264e-47
"5FU_24","5FU","24h",313749,0.557317617579897,3.24698831341895e-08,1.14700650275484e-07
"5FU_24","5FU","24h",313755,2.12554943026727,3.06204481315814e-07,9.78805188023359e-07
"5FU_24","5FU","24h",313757,0.632754687468093,1.00201020710992e-20,1.17606907695789e-19
"5FU_24","5FU","24h",313765,0.414188141321309,7.24516697301471e-06,1.94550110932207e-05
"5FU_24","5FU","24h",313775,0.6291193787848,4.44730208098937e-07,1.39285634789583e-06
"5FU_24","5FU","24h",313777,0.473363587734581,1.64014236183391e-24,2.64934871632971e-23
"5FU_24","5FU","24h",313783,0.383972644745709,0.00438843727314008,0.0080178234805735
"5FU_24","5FU","24h",313806,0.675133074899313,3.94274201731416e-22,5.18250265843309e-21
"5FU_24","5FU","24h",313861,0.251003011579011,0.000200073343475081,0.000447428924544611
"5FU_24","5FU","24h",313905,0.445065159710006,4.74033450476536e-07,1.48144359850451e-06
"5FU_24","5FU","24h",313906,0.335029621929899,3.1064363323427e-15,2.2356275722899e-14
"5FU_24","5FU","24h",313914,0.149201124587503,0.00536002538633594,0.00963202981512944
